#RPLIDAR SCAN DATA
#COUNT=471
#Angule	Distance	Quality
356.1823 2176.0 188
356.8085 2186.0 188
357.4512 2193.0 188
358.0774 2197.0 188
358.6981 2205.0 188
359.3408 2209.0 188
359.9670 2231.0 188
0.5933 2215.0 188
1.2305 2212.0 188
9.4373 2343.0 188
10.0745 2277.0 188
10.7007 2226.0 188
11.3434 2197.0 188
11.9641 2157.0 188
12.6068 2122.0 188
13.2330 2083.0 188
13.8702 2052.0 188
14.4965 2022.0 188
15.1392 1995.0 188
15.7654 1972.0 188
16.4026 1940.0 188
17.1552 1913.0 188
17.7924 1891.0 188
18.4351 1858.0 188
19.0613 1838.0 188
19.6985 1815.0 188
20.3247 1795.0 188
20.9674 1775.0 188
21.5936 1755.0 188
22.2308 1729.0 188
22.8571 1716.0 188
23.4998 1698.0 188
24.1205 1675.0 188
24.7632 1666.0 188
25.3894 1644.0 188
26.0266 1633.0 188
26.7792 1614.0 188
27.4219 1601.0 188
28.0591 1583.0 188
28.6853 1574.0 188
29.3280 1553.0 188
29.9487 1544.0 188
30.5914 1525.0 188
31.2177 1513.0 188
31.8549 1499.0 188
32.6074 1492.0 188
33.1238 1479.0 188
33.7610 1469.0 188
34.3872 1460.0 188
35.1563 1451.0 188
35.6561 1434.0 188
36.4197 1430.0 188
37.0459 1421.0 188
37.6831 1407.0 188
38.1995 1402.0 188
38.9520 1390.0 188
39.5892 1382.0 188
40.2155 1373.0 188
40.8582 1366.0 188
41.4844 1358.0 188
42.1216 1357.0 188
42.7478 1341.0 188
43.3905 1337.0 188
44.0277 1331.0 188
44.7803 1326.0 188
45.2966 1319.0 188
45.9174 1309.0 188
46.6864 1307.0 188
47.1863 1299.0 188
47.8235 1296.0 188
48.4662 1289.0 188
49.2188 1283.0 188
49.8560 1278.0 188
50.4987 1279.0 188
51.1249 1270.0 188
51.7621 1270.0 188
52.2784 1265.0 188
53.0420 1261.0 188
53.6682 1254.0 188
54.3109 1253.0 188
54.9481 1250.0 188
55.5743 1256.0 188
56.2170 1245.0 188
56.8542 1241.0 188
57.4969 1240.0 188
58.1232 1235.0 188
58.7604 1235.0 188
59.4031 1233.0 188
60.0293 1229.0 188
60.6665 1230.0 188
61.3092 1228.0 188
61.9519 1228.0 188
62.5781 1224.0 188
63.2153 1222.0 188
63.8580 1223.0 188
64.4843 1220.0 188
65.1215 1218.0 188
65.7642 1220.0 188
66.4014 1218.0 188
67.0276 1216.0 188
67.6703 1221.0 188
68.3075 1219.0 188
68.9502 1222.0 188
69.5764 1221.0 188
70.9827 2089.0 188
88.1873 520.0 188
88.9508 496.0 188
89.9506 474.0 188
90.7141 441.0 188
91.4832 416.0 188
92.4829 396.0 188
93.3728 375.0 188
93.9990 364.0 188
95.0153 354.0 188
95.2789 346.0 188
96.2787 340.0 188
97.0422 335.0 188
97.4323 330.0 188
98.3112 328.0 188
98.8275 326.0 188
99.3384 325.0 188
100.3436 325.0 188
100.7336 326.0 188
101.7499 328.0 188
102.1234 332.0 188
102.2607 336.0 188
103.5297 344.0 188
103.5297 349.0 188
104.2932 352.0 188
104.8096 353.0 188
105.3094 354.0 188
105.9521 353.0 188
106.8420 352.0 188
107.7155 350.0 188
108.2318 347.0 188
109.1217 345.0 188
109.2480 343.0 188
110.1379 341.0 188
110.9015 340.0 188
111.2805 340.0 188
111.7969 341.0 188
112.8076 341.0 188
113.3075 342.0 188
114.3237 342.0 188
114.9500 343.0 188
115.3400 343.0 188
115.6091 345.0 188
116.2299 347.0 188
120.6244 196.0 188
121.2616 194.0 188
121.8878 191.0 188
122.5305 186.0 188
123.1677 182.0 188
123.7939 178.0 188
124.4366 175.0 188
125.3265 172.0 188
125.9528 170.0 188
126.5900 167.0 188
127.2327 165.0 188
127.8589 163.0 188
128.4961 161.0 188
129.1388 159.0 188
129.7650 156.0 188
130.4022 155.0 188
131.0449 153.0 188
131.6711 153.0 188
132.3083 152.0 188
132.9510 151.0 188
133.5773 151.0 188
134.2145 151.0 188
134.8572 151.0 188
135.4834 150.0 188
136.1206 150.0 188
136.7633 150.0 188
137.3895 150.0 188
138.0103 149.0 188
138.6530 149.0 188
139.2792 149.0 188
