#RPLIDAR SCAN DATA
#COUNT=382
#Angule	Distance	Quality
355.9186 2122.0 188
356.5448 2118.0 188
357.1875 2112.0 188
357.8082 2111.0 188
358.4509 2107.0 188
359.0936 2108.0 188
359.7144 2092.0 188
0.3571 2091.0 188
0.9833 2047.0 188
9.2340 2107.0 188
9.8547 2077.0 188
10.4974 2057.0 188
11.1237 2052.0 188
11.7609 2039.0 188
12.3871 2039.0 188
13.0298 2039.0 188
13.6560 2041.0 188
14.2932 2043.0 188
14.9194 2041.0 188
15.5621 2049.0 188
16.1829 2046.0 188
16.8256 2043.0 188
17.4518 2046.0 188
18.0890 2057.0 188
18.7152 2049.0 188
19.3579 2060.0 188
19.9841 2061.0 188
20.6213 2061.0 188
21.2476 2066.0 188
21.8903 2062.0 188
22.5110 2076.0 188
23.1537 2078.0 188
23.7799 2081.0 188
24.4171 2086.0 188
25.0433 2087.0 188
25.6860 2093.0 188
26.3123 2106.0 188
26.9495 2109.0 188
27.5922 2108.0 188
28.2294 2117.0 188
28.8721 2121.0 188
29.5148 2126.0 188
30.1520 2144.0 188
30.7947 2155.0 188
31.4374 2157.0 188
32.0746 2165.0 188
32.7008 2172.0 188
33.3435 2178.0 188
33.9807 2180.0 188
34.6234 2204.0 188
35.2606 2209.0 188
35.9033 2214.0 188
36.5460 2226.0 188
37.1832 2234.0 188
37.8259 2253.0 188
38.3423 2264.0 188
39.1058 2278.0 188
39.7321 2286.0 188
40.2484 2308.0 188
41.0120 2317.0 188
41.6547 2333.0 188
42.2919 2343.0 188
42.8082 2363.0 188
43.4509 2380.0 188
44.0936 2393.0 188
44.7308 2403.0 188
45.3735 2409.0 188
46.0107 2439.0 188
46.6370 2457.0 188
47.2797 2470.0 188
47.9169 2504.0 188
48.5596 2513.0 188
49.2023 2525.0 188
49.8230 2538.0 188
50.4657 2577.0 188
51.1084 2594.0 188
51.7456 2604.0 188
52.3883 2630.0 188
53.0145 2669.0 188
53.6517 2683.0 188
54.2944 2713.0 188
54.9371 2736.0 188
55.5743 2773.0 188
56.2170 2807.0 188
56.7169 2849.0 188
74.4489 4236.0 188
75.0916 4294.0 188
93.1201 376.0 188
93.8892 370.0 188
94.6362 364.0 188
95.7788 358.0 188
96.0260 353.0 188
97.0422 346.0 188
111.3574 345.0 188
112.2473 344.0 188
112.5000 341.0 188
113.6371 340.0 188
114.3896 340.0 188
114.7797 341.0 188
115.5267 343.0 188
115.7959 345.0 188
116.1859 349.0 188
117.0593 352.0 188
117.4493 358.0 188
118.2019 367.0 188
118.4656 374.0 188
119.4653 380.0 188
119.7290 385.0 188
120.6244 389.0 188
120.9979 392.0 188
121.5143 397.0 188
122.3877 400.0 188
123.0304 403.0 188
123.4039 407.0 188
123.9203 410.0 188
124.6674 411.0 188
125.0574 413.0 188
125.9528 414.0 188
126.6998 415.0 188
127.2162 415.0 188
127.7161 415.0 188
128.3588 414.0 188
129.2322 411.0 188
129.6222 409.0 188
130.3857 407.0 188
131.1383 404.0 188
131.6547 403.0 188
132.4182 403.0 188
133.1873 404.0 188
133.8245 406.0 188
134.4672 412.0 188
139.5428 333.0 188
140.1855 314.0 188
140.8228 312.0 188
142.0917 307.0 188
142.6080 305.0 188
143.6243 305.0 188
144.1406 304.0 188
144.3878 302.0 188
144.9042 300.0 188
145.7941 301.0 188
146.5576 304.0 188
150.2325 3076.0 188
150.8588 3045.0 188
151.4960 3022.0 188
152.1387 2997.0 188
152.9022 2955.0 188
153.5284 2932.0 188
154.1711 2903.0 188
154.8083 2879.0 188
155.4510 2855.0 188
156.0773 2842.0 188
156.7145 2811.0 188
157.3572 2790.0 188
157.9999 2759.0 188
158.6206 2750.0 188
159.2633 2728.0 188
159.9060 2710.0 188
160.5432 2681.0 188
161.1694 2651.0 188
161.8121 2624.0 188
162.4493 2611.0 188
163.0920 2594.0 188
163.7183 2576.0 188
164.3555 2559.0 188
164.9982 2534.0 188
165.6354 2524.0 188
166.2616 2506.0 188
