#RPLIDAR SCAN DATA
#COUNT=417
#Angule	Distance	Quality
11.2775 7440.0 188
11.9531 7455.0 188
12.6068 7466.0 188
18.1055 5027.0 188
20.1215 4263.0 188
22.9504 3594.0 188
23.6206 3490.0 188
24.2963 3349.0 188
24.9664 3220.0 188
25.6366 3103.0 188
26.3123 3010.0 188
27.1198 2912.0 188
27.7954 2845.0 188
28.4656 2754.0 188
29.1357 2669.0 188
29.8114 2610.0 188
30.4816 2541.0 188
31.1517 2486.0 188
31.8274 2418.0 188
32.5140 2351.0 188
33.3105 2294.0 188
33.9807 2248.0 188
34.6509 2207.0 188
35.3265 2163.0 188
35.9967 2123.0 188
36.6669 2071.0 188
37.3425 2027.0 188
38.0292 1995.0 188
38.6993 1964.0 188
39.4958 1925.0 188
40.1715 1888.0 188
40.8417 1856.0 188
41.5118 1821.0 188
42.1875 1799.0 188
42.8741 1765.0 188
43.5443 1738.0 188
44.2145 1708.0 188
44.8901 1686.0 188
45.5603 1660.0 188
46.2305 1634.0 188
47.0435 1616.0 188
47.7136 1593.0 188
48.3893 1575.0 188
49.0594 1551.0 188
49.7296 1535.0 188
50.4053 1520.0 188
51.0754 1542.0 188
51.7621 1558.0 188
52.4323 1579.0 188
52.9816 1600.0 188
53.7781 1615.0 188
54.3274 1643.0 188
55.1239 1665.0 188
55.6842 1681.0 188
56.3544 1709.0 188
57.0300 1734.0 188
57.7002 1764.0 188
58.3704 1792.0 188
59.0460 1822.0 188
59.7327 1841.0 188
60.4028 1871.0 188
60.9521 1906.0 188
61.6223 1935.0 188
62.2925 1968.0 188
62.9681 2001.0 188
63.6383 2030.0 188
64.3085 2057.0 188
64.9841 2102.0 188
65.6543 2137.0 188
66.3245 2182.0 188
67.0111 2226.0 188
67.5604 2265.0 188
68.2306 2325.0 188
68.9063 2372.0 188
69.5764 2423.0 188
70.2466 2469.0 188
70.9167 2547.0 188
74.8389 2991.0 188
75.5145 3073.0 188
76.1847 3195.0 188
76.8549 3278.0 188
81.9965 6512.0 188
82.6666 6446.0 188
83.3423 6340.0 188
84.0125 6352.0 188
84.6826 6256.0 188
85.3583 6366.0 188
86.0284 6352.0 188
102.0575 410.0 188
103.1067 397.0 188
103.9032 390.0 188
104.5734 382.0 188
105.4962 375.0 188
106.1829 369.0 188
106.9794 365.0 188
107.4023 363.0 188
108.4515 361.0 188
108.9954 359.0 188
109.6710 358.0 188
110.0885 356.0 188
110.8905 355.0 188
111.5607 353.0 188
112.3572 352.0 188
112.6538 351.0 188
113.4503 350.0 188
114.4995 348.0 188
115.1697 347.0 188
115.7135 346.0 188
116.2628 345.0 188
117.0593 344.0 188
117.7295 344.0 188
118.5260 344.0 188
118.9490 345.0 188
119.7455 346.0 188
120.5420 347.0 188
121.0913 348.0 188
122.0142 349.0 188
122.4371 350.0 188
123.3545 352.0 188
123.9038 353.0 188
124.5740 355.0 188
124.7498 356.0 188
125.9198 358.0 188
126.2164 360.0 188
127.1393 361.0 188
127.4359 361.0 188
128.0896 358.0 188
128.7653 360.0 188
129.4354 361.0 188
130.0891 365.0 188
130.8856 369.0 188
131.5613 375.0 188
132.3578 379.0 188
132.8906 382.0 188
133.1873 385.0 188
133.7311 391.0 188
138.6365 177.0 188
139.3121 176.0 188
139.9823 176.0 188
140.6525 176.0 188
141.3116 177.0 188
141.9818 178.0 188
142.6520 180.0 188
144.6515 183.0 188
145.3271 181.0 188
145.9808 181.0 188
146.6510 181.0 188
147.3267 181.0 188
147.9803 183.0 188
148.6560 185.0 188
150.6555 188.0 188
151.3257 185.0 188
151.9958 185.0 188
152.6715 185.0 188
153.3417 186.0 188
154.0118 187.0 188
154.6875 188.0 188
155.3741 191.0 188
157.4011 205.0 188
157.8241 208.0 188
165.0146 195.0 188
166.2012 194.0 188
166.8713 194.0 188
167.5415 194.0 188
168.2336 196.0 188
168.9038 197.0 188
169.5740 199.0 188
170.2606 202.0 188
164.0588 1440.0 188
164.7290 1431.0 188
165.5420 1418.0 188
166.2177 1419.0 188
166.8878 1408.0 188
167.4481 1397.0 188
168.2336 1397.0 188
168.9038 1367.0 188
173.4686 1400.0 188
174.2651 1369.0 188
174.9188 1358.0 188
175.5890 1359.0 188
176.2646 1356.0 188
176.9348 1349.0 188
177.6050 1346.0 188
178.2806 1347.0 188
178.9343 1344.0 188
179.6045 1334.0 188
180.2802 1336.0 188
180.9503 1335.0 188
181.6205 1330.0 188
182.2797 1329.0 188
182.9498 1331.0 188
183.6200 1333.0 188
184.2957 1328.0 188
184.9658 1328.0 188
185.6250 1330.0 188
186.2952 1326.0 188
186.9653 1330.0 188
187.6355 1329.0 188
188.3112 1329.0 188
188.9813 1331.0 188
189.6515 1336.0 188
190.3271 1333.0 188
190.9973 1337.0 188
191.6840 1338.0 188
192.3541 1339.0 188
193.0298 1336.0 188
193.7000 1349.0 188
194.3866 1348.0 188
195.0623 1355.0 188
205.1862 192.0 188
205.8728 191.0 188
202.5000 1390.0 188
203.1702 1395.0 188
203.8568 1397.0 188
204.4061 1407.0 188
205.2026 1402.0 188
205.8893 1388.0 188
212.5140 1515.0 188
213.1842 1500.0 188
213.8544 1501.0 188
214.5300 1509.0 188
215.2167 1524.0 188
215.8868 1530.0 188
216.5625 1543.0 188
217.2327 1553.0 188
217.9028 1557.0 188
218.5730 1574.0 188
219.2651 1582.0 188
219.9353 1597.0 188
220.6055 1612.0 188
221.2811 1622.0 188
221.8250 1637.0 188
222.6215 1654.0 188
223.2916 1664.0 188
223.9838 1677.0 188
224.5276 1694.0 188
225.1978 1710.0 188
225.8734 1744.0 188
226.5436 1756.0 188
227.2137 1779.0 188
227.9059 1796.0 188
228.5760 1815.0 188
229.2462 1837.0 188
229.9219 1850.0 188
230.5920 1876.0 188
